Account number,Organization,Country/Area,Request response status,Access type,Samples,Response received date,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Primary Ticker,Tickers,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
149,Acbel Polytech Inc,"Taiwan, China",Submitted,public,,44770.2530439815," Electronic components, Fabricated metal components"," Electrical & electronic equipment, Metal products manufacturing", Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,6282 TT, 6282 TT,6282.TW,2022,16489183879,,1923382000,25321167000,4351479000,636360000,TWD,7711645000,743153000,207912000,33864236000,23131856000,951065000,12780186000,10732380000
154,ACCIONA S.A.,Spain,Submitted,public," Continuity Climate Change, Spain",44774.4565393519," Alcoholic beverages, Asset managers, Cruise lines & ferries, Energy infrastructure construction, Other renewable generation, Pollution control equipment, Real estate services, Renewable energy construction, Transportation infrastructure & other construction, Utility line construction"," Construction, Financial services, Food & beverage processing, Light manufacturing, Marine transport, Other services, Renewable power generation"," Food, beverage & agriculture, Infrastructure, Manufacturing, Power generation, Services, Transportation services",Renewable energy construction,Construction,Infrastructure,General,ANA SM, ANA SM,ANA.MC,2022,9400325886,,2029000000,11195000000,7784000000,615000000,EUR,2360000000,303000000,1637000000,22595000000,16291000000,1940000000,7928000000,6304000000
156,Accor,France,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, France, MSCI ACWI",44774.6635648148, Hotels & lodging," Bars, hotels & restaurants", Hospitality,Hotels & lodging,"Bars, hotels & restaurants",Hospitality,Real estate,AC FP, AC FP,AC.PA,2022,6141792389,,675000000,4224000000,1817000000,402000000,EUR,1643000000,14000000,1419000000,11713000000,7257000000,1433000000,4338000000,4456000000
165,Accupac,United States of America,Submitted,public,,44771.7536805556, Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General,,,unknown,2022,,,,,,,,,,,,,,,
169,ACERINOX,Spain,Submitted,public," Climate High Impact Sample, Continuity Climate Change, Environmental, Spain",44774.2949074074, Iron & steel," Metal smelting, refining & forming", Materials,Iron & steel,"Metal smelting, refining & forming",Materials,Steel,ACX SM, ACX SM,ACX.MC,2022,2303823226,,1283507000,8688494000,3082806000,556054000,EUR,1548040000,9779000,-8880000,6318147000,3770454000,899000,1988524000,2547693000
220,Adecco Group AG,Switzerland,Submitted,public," Benchmark, Continuity Climate Change, DACH, MSCI ACWI",44768.6334722222, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General,ADEN SW, ADEN SW,ADEN.SW,2022,5090170325,,770000000,23640000000,4974000000,342000000,EUR,782000000,-8000000,185000000,13256000000,9363000000,177000000,3700000000,3893000000
234,"Advanced Call Center Technologies, LLC",United States of America,Submitted,public,,44812.7563078704," Banks, Other professional services"," Financial services, Specialized professional services", Services,Other professional services,Specialized professional services,Services,General,4556398Z US, 4556398Z US,4556398Z,2022,,,,,,,EUR,,,,,,,,
240,ADVA Optical Networking SE,Germany,Submitted,public, DACH,44763.2957638889, Communications equipment, Electrical & electronic equipment, Manufacturing,Communications equipment,Electrical & electronic equipment,Manufacturing,General,ADV GR, ADV GR,ADV.DE,2022,1131809624,,94816000,712114000,238127000,18132000,EUR,55778000,2290000,3559000,647912000,278832000,5849000,77632000,369080000
246,Advantest Corporation,Japan,Submitted,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44774.3246759259," Consumer goods wholesale & rental, Industrial machinery, Semiconductors, Vehicles & machinery rental & leasing"," Electrical & electronic equipment, Powered machinery, Trading, wholesale, distribution, rental & leasing"," Manufacturing, Retail",Semiconductors,Electrical & electronic equipment,Manufacturing,General,6857 JP, 6857 JP,6857.T,2022,1567838910720,,193541000000,560191000000,319061000000,130400000000,JPY,85537000000,-394000000,21882000000,600224000000,231530000000,21488000000,50844000000,368694000000
248,AECI Ltd Ord,South Africa,Submitted,public," Continuity Climate Change, Environmental, South Africa",44773.3987268519," Agricultural chemicals, Real estate services, Specialty chemicals"," Chemicals, Other services"," Materials, Services",Specialty chemicals,Chemicals,Materials,Chemicals,AFE SJ, AFE SJ,AFE.JO,2022,8357025020,,3188000000,35583000000,9846000000,930000000,ZAR,2059000000,300000000,69000000,28426000000,16604000000,369000000,7545000000,11822000000
252,Aegon,Netherlands,Submitted,public," Benchmark, Benelux, Continuity Climate Change, MSCI ACWI",44774.880625, Insurance, Financial services, Services,Insurance,Financial services,Services,Financial services,AGN NA, AGN NA,AGN.AS,2022,9362372122,,-462000000,-15846000000,-15846000000,-1025000000,EUR,3407000000,60906000000,88280000000,401786000000,387596000000,259163000000,6674000000,14190000000
257,Dentsu International,United Kingdom of Great Britain and Northern Ireland,Submitted,public, Self selected companies climate change,44763.6577662037, Marketing, Web & marketing services, Services,Marketing,Web & marketing services,Services,General,AGS LN, AGS LN,AGS.L,2022,,,,,,,EUR,,,,,,,,
258,"Aeon Co., Ltd.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Food Value Chain - Climate, Japan, MSCI ACWI, TSE Prime Segment",44774.3102893519," Banks, Hypermarkets & superstores, Real estate owners & developers, Recreation & entertainment facilities, Supermarkets, food & drugstores"," Convenience retail, Entertainment facilities, Financial services, Land & property ownership & development"," Hospitality, Infrastructure, Retail, Services","Supermarkets, food & drugstores",Convenience retail,Retail,General,8267 JP, 8267 JP,8267.T,2022,2378122363914,,576123000000,9116822000000,3337928000000,21381000000,JPY,1309725000000,508223000000,856861000000,12341523000000,10371295000000,263947000000,3522599000000,1970228000000
261,"Aeon Mall Co., Ltd.",Japan,Submitted,public," Benchmark, Continuity Climate Change, Japan, TSE Prime Segment",44772.493912037, Real estate owners & developers, Land & property ownership & development, Infrastructure,Real estate owners & developers,Land & property ownership & development,Infrastructure,Real estate,8905 JP, 8905 JP,8905.T,2022,387981392645,,117458000000,398244000000,75415000000,12994000000,JPY,92683000000,25000000000,94974000000,1559592000000,1107884000000,2129000000,817396000000,451708000000
276,A.P. Moller - Maersk,Denmark,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, FTSE All-World, MSCI ACWI, Nordic",44757.5694097222," Energy services & equipment, Logistics - 3rd party, Logistics - transport, Marine freight, Oil & gas extraction, Shipbuilding, Transportation support services"," Industrial support services, Intermodal transport & logistics, Marine transport, Oil & gas extraction & production, Transportation equipment"," Fossil Fuels, Manufacturing, Services, Transportation services",Marine freight,Marine transport,Transportation services,Transport services,, MAERSKB DC,MAERSKB.CO,2022,,,,,,,JPY,,,,,,,,
282,ABB,Switzerland,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Euro, FTSE All-World, Global 500, MSCI ACWI",44766.6055092593," Electrical equipment, Electronic equipment, Engines & motors, Industrial machinery"," Electrical & electronic equipment, Powered machinery", Manufacturing,Electronic equipment,Electrical & electronic equipment,Manufacturing,General,ABBN SW, ABBN SW,ABBN.SW,2022,52472200000,,4338000000,29446000000,9710000000,2475000000,USD,4156000000,725000000,130000000,39148000000,25876000000,855000000,8549000000,13272000000
285,3M Company,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44772.0350462963," Electronic components, Fabricated metal components, Health care supplies, Paper products, Specialty chemicals"," Chemicals, Electrical & electronic equipment, Medical equipment & supplies, Metal products manufacturing, Paper products & packaging"," Biotech, health care & pharma, Manufacturing, Materials",Specialty chemicals,Chemicals,Materials,Chemicals,MMM US, MMM US,MMM,2022,55333494000,92000,8370000000,34229000000,14997000000,5777000000,USD,3655000000,238000000,967000000,46455000000,31685000000,1205000000,16200000000,14818000000
304,The AES Corporation,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500, United States of America",44784.5060648148," Coal generation, Electricity networks"," Energy utility networks, Thermal power generation"," Infrastructure, Power generation",Electricity networks,Energy utility networks,Infrastructure,Electric utilities,AES US, AES US,AES,2022,19211680000,1000,-189000000,12668000000,5008000000,249000000,USD,1796000000,395000000,1304000000,44799000000,37350000000,1699000000,27085000000,7449000000
313,ACEA SpA,Italy,Submitted,public," Continuity Climate Change, Environmental, Italy",44767.6046412037," Biomass generation, CCGT generation, Electricity networks, Water supply networks"," Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation"," Infrastructure, Power generation",Water supply networks,Non-energy utilities,Infrastructure,Electric utilities,ACE IM, ACE IM,ACE.MI,2022,2746118958,,1273494000,5026999000,2256209000,279725000,EUR,559908000,2667000,379756000,11338535000,8583292000,382423000,5820207000,2755243000
316,Acer Inc.,"Taiwan, China",Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",44770.2884143519," Computer hardware, Electronic equipment", Electrical & electronic equipment, Manufacturing,Computer hardware,Electrical & electronic equipment,Manufacturing,General,2353 TT, 2353 TT,2353.TW,2022,70676093400,,9758203000,275423744000,29744487000,5003688000,TWD,46842902000,935122000,9723819000,189039719000,118605524000,10658941000,13923628000,70434195000
321,Grupo ACS (Actividades de Construcción y Servicios),Spain,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI, Spain",44771.5424768519," Engineering services, Gas utilities, Renewable energy construction, Transportation infrastructure & other construction, Utility line construction"," Construction, Energy utility networks, Specialized professional services"," Infrastructure, Services",Transportation infrastructure & other construction,Construction,Infrastructure,General,ACS SM, ACS SM,ACS.MC,2022,6992772691,,1071290000,33615234000,10250511000,668227000,EUR,9419987000,997011000,4733056000,37580300000,31204423000,5730067000,10996610000,6375877000
333,Adobe,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44769.8365625, Software, IT & software development, Services,Software,IT & software development,Services,General,ADBE US, ADBE US,ADBE,2022,154467270000,29239,6995000000,17606000000,15441000000,4756000000,USD,4236000000,1860000000,0,27165000000,13114000000,1860000000,4633000000,14051000000
334,"Advanced Micro Devices, Inc",United States of America,Submitted,public," Benchmark, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44774.9019212963, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,AMD US, AMD US,AMD,2022,104474010000,25000,3372000000,23601000000,10603000000,1320000000,USD,4835000000,1020000000,83000000,67580000000,12830000000,1103000000,3175000000,54750000000
336,"ASE Technology Holding Co., Ltd.","Taiwan, China",Submitted,public," Asia ex-JICK, Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, MSCI ACWI",44772.4231597222, Industrial services, Industrial support services, Services,Industrial services,Industrial support services,Services,General,2311 TT, 2311 TT,2311.TW,2022,,,,,,,USD,,,,,,,,
350,Agnico-Eagle Mines Limited,Canada,Submitted,public," Benchmark, Canada, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",44781.5949768518," Other non-ferrous ore mining, Precious metals & minerals mining", Metallic mineral mining, Materials,Precious metals & minerals mining,Metallic mineral mining,Materials,Metals & mining,AEM CN, AEM CN,AEM.TO,2022,32053060880,,2422660000,5741162000,2003150000,670249000,USD,658625000,9896000,332742000,23494808000,7253463000,325246000,1493412000,16241345000
351,AGL Energy,Australia,Submitted,public," Australia, Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",44756.2206134259," CCGT generation, Coal generation, Electricity networks, Hydro generation, Oil & gas extraction"," Energy utility networks, Oil & gas extraction & production, Renewable power generation, Thermal power generation"," Fossil Fuels, Infrastructure, Power generation",Electricity networks,Energy utility networks,Infrastructure,Electric utilities,AGL AU, AGL AU,AGL.AX,2022,5429070170,,2500000000,13221000000,1086000000,860000000,AUD,127000000,214000000,903000000,19270000000,12753000000,1117000000,2878000000,6517000000
362,AFLAC Incorporated,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44775.0575347222, Insurance, Financial services, Services,Insurance,Financial services,Services,Financial services,AFL US, AFL US,AFL,2022,44591649300,6996,4830000000,19140000000,18865000000,4418000000,USD,3943000000,75741000000,95888000000,131738000000,111598000000,113454000000,7442000000,20140000000
365,Affiliated Managers Group,United States of America,Submitted,public," Benchmark, Continuity Climate Change, United States of America",44770.7489583333, Asset managers, Financial services, Services,Asset managers,Financial services,Services,Financial services,AMG US, AMG US,AMG,2022,5941125000,3950,1817900000,2329600000,1258100000,1145900000,USD,429200000,716900000,2561100000,8881000000,4240000000,3278000000,2535300000,4641000000
383,Aggreko,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change",44771.6135648148, Vehicles & machinery rental & leasing," Trading, wholesale, distribution, rental & leasing", Retail,Vehicles & machinery rental & leasing,"Trading, wholesale, distribution, rental & leasing",Retail,General,AGK LN, AGK LN,AGK.L,2022,,,,,,,USD,,,,,,,,
391,Agilent Technologies Inc.,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44748.5980324074, Medical equipment, Medical equipment & supplies," Biotech, health care & pharma",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General,A US, A US,A,2022,44296400000,18100,1905000000,6848000000,3722000000,1254000000,USD,1053000000,0,195000000,10516000000,5227000000,195000000,2769000000,5289000000
394,Ajinomoto Co.Inc.,Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Food Value Chain - Climate, Japan, MSCI ACWI, TSE Prime Segment",44768.247349537," Animal feed, Logistics - 3rd party, Non-alcoholic beverages, Other base chemicals, Other food processing, Pharmaceuticals"," Biotech & pharma, Chemicals, Crop farming, Food & beverage processing, Intermodal transport & logistics"," Biotech, health care & pharma, Food, beverage & agriculture, Materials, Transportation services",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco",2802 JP, 2802 JP,2802.T,2022,2157633060000,,226847000000,1359115000000,470388000000,94065000000,JPY,132777000000,12312000000,192630000000,1511734000000,688766000000,173574000000,288564000000,822968000000
399,Aisin Corporation,Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Japan, MSCI ACWI, TSE Prime Segment",44770.1954282407, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,7259 JP, 7259 JP,7259.T,2022,951371066010,,367497000000,4402823000000,401389000000,37670000000,JPY,317693000000,44326000000,677352000000,4135826000000,2144390000000,721678000000,910465000000,1991436000000
403,AIXTRON SE,Germany,Submitted,public," Continuity Climate Change, DACH",44763.3543981481," Electronic components, Industrial machinery"," Electrical & electronic equipment, Powered machinery", Manufacturing,Industrial machinery,Powered machinery,Manufacturing,Capital goods,AIXA GR, AIXA GR,AIXA.DE,2022,3032575860,,115196000,463167000,195271000,100437000,EUR,104751000,220410000,705000,902577000,239260000,220410000,7962000,663317000
427,Air Canada,Canada,Submitted,public," Benchmark, Canada, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI",44774.7039583333," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services,AC CN, AC CN,AC.TO,2022,6941619642,,1629000000,16556000000,2799000000,-1700000000,CAD,2693000000,5295000000,887000000,29507000000,31062000000,6182000000,16306000000,-1555000000
429,Air France - KLM,France,Submitted,public," Climate High Impact Sample, Continuity Climate Change, Environmental, Fixed Income, France",44834.3642592593," Air freight, Passenger airlines, Transportation support services"," Air transport, Industrial support services"," Services, Transportation services",Passenger airlines,Air transport,Transportation services,Transport services,AF FP, AF FP,AF.PA,2022,3162842928,,3238000000,26393000000,7971000000,728000000,EUR,6626000000,606000000,310000000,32305000000,34785000000,916000000,14708000000,-2480000000
432,Air Liquide,France,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, France, FTSE All-World, Global 500, MSCI ACWI",44770.3345949074," Industrial machinery, Inorganic base chemicals, Other base chemicals"," Chemicals, Powered machinery"," Manufacturing, Materials",Inorganic base chemicals,Chemicals,Materials,Chemicals,AI FP, AI FP,AI.PA,2022,69112928738,,7327700000,29934000000,8691700000,2758800000,EUR,1911400000,500000,941200000,49518000000,24840500000,941200000,13452500000,24572000000
435,"Air Products & Chemicals, Inc.",United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44771.5949537037, Inorganic base chemicals, Chemicals, Materials,Inorganic base chemicals,Chemicals,Materials,Chemicals,APD US, APD US,APD,2022,68495372000,,4294600000,12698600000,3360100000,2256100000,USD,2711000000,590700000,3353800000,27192600000,13490200000,4011200000,7644800000,13702400000
449,AKBANK T.A.Ş.,Turkey,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI, Turkey",44774.5987152778," Banks, Other financial"," Financial services, Specialized professional services", Services,Banks,Financial services,Services,Financial services,AKBNK TI, AKBNK TI,AKBNK.IS,2022,101660000000,,134250783000,111776552000,111776552000,60025707000,TRY,159882201000,0,143708442000,1147294180000,993688310000,143708442000,118547863000,153605870000
454,Akamai Technologies Inc,United States of America,Submitted,public," Benchmark, Continuity Climate Change, MSCI ACWI, S&P 500, United States of America",44767.9715740741, Software, IT & software development, Services,Software,IT & software development,Services,General,AKAM US, AKAM US,AKAM,2022,13244288700,9800,1294453000,3616654000,2232835000,523672000,USD,542337000,562979000,320531000,8303400000,3943213000,883510000,3174617000,4360187000
457,Aker ASA,Norway,Submitted,public," Continuity Climate Change, Nordic",44771.4962384259," Asset managers, Energy infrastructure construction, Energy services & equipment, Pharmaceuticals, Transportation infrastructure & other construction"," Biotech & pharma, Construction, Financial services, Industrial support services"," Biotech, health care & pharma, Infrastructure, Services",Asset managers,Financial services,Services,Financial services,AKER NO, AKER NO,AKER.OL,2022,53454081873,,16068000000,9660000000,2677000000,10157000000,NOK,13208000000,-3300000000,42113000000,97259000000,43413000000,38813000000,35335000000,53846000000
516,ALEXANDER MANN SOLUTIONS LTD,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44764.6365625, Other professional services, Specialized professional services, Services,Other professional services,Specialized professional services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
524,Algonquin Power & Utilities Corporation,Canada,Submitted,public," Benchmark, Canada, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",44774.6391782407," Electricity networks, Other renewable generation"," Energy utility networks, Renewable power generation"," Infrastructure, Power generation",Electricity networks,Energy utility networks,Infrastructure,Electric utilities,AQN CN, AQN CN,AQN.TO,2022,5985460204,,1077042000,2765155000,1898659000,-308155000,USD,57623000,0,1753609000,17627613000,10471798000,1753609000,7512017000,7155815000
528,Alfa Laval Corporate AB,Sweden,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Euro, MSCI ACWI, Nordic",44774.4436111111," Electrical equipment, Fabricated metal components, Industrial machinery, Oil & gas refining, Other renewable energy equipment"," Electrical & electronic equipment, Metal products manufacturing, Oil & gas processing, Powered machinery, Renewable energy equipment"," Fossil Fuels, Manufacturing",Industrial machinery,Powered machinery,Manufacturing,Capital goods,ALFA SS, ALFA SS,ALFA.ST,2022,124452553446,,8885000000,52135000000,17646000000,4503000000,SEK,4352000000,304000000,171000000,81249000000,45545000000,475000000,18156000000,35704000000
550,ANA Holdings Inc.,Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44768.3250115741," Air freight, Dealers, wholesalers & distributors, Other professional services, Passenger airlines, Transportation support services, Travel services"," Air transport, Commercial & consumer services, Industrial support services, Specialized professional services, Trading, wholesale, distribution, rental & leasing"," Retail, Services, Transportation services",Passenger airlines,Air transport,Transportation services,Transport services,9202 JP, 9202 JP,9202.T,2022,1316932976800,,282504000000,1707484000000,303917000000,89477000000,JPY,603686000000,580037000000,185837000000,3366724000000,2496333000000,149952000000,1607918000000,870391000000
557,Rumo,Brazil,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, Latin America, MSCI ACWI",44774.9182175926," Logistics - transport, Rail freight"," Intermodal transport & logistics, Rail transport", Transportation services,Logistics - transport,Intermodal transport & logistics,Transportation services,Transport services,RUMO3 BZ, RUMO3 BZ,RUMO3.SA,2022,,,,,,,JPY,,,,,,,,
569,Alma Media Corporation,Finland,Submitted,public, Self selected companies climate change,44755.3118171296," Marketing, Print publishing, Web-based services"," Print & publishing services, Web & marketing services", Services,Print publishing,Print & publishing services,Services,General,ALMA FH, ALMA FH,ALMA.HE,2022,772539000,,93600000,308800000,271200000,71900000,EUR,30000000,-5400000,13000000,495200000,289300000,7600000,172700000,205900000
573,Alpha Bank,Greece,Submitted,public," Benchmark, Continuity Climate Change, MSCI ACWI",44774.3699652778," Asset managers, Banks", Financial services, Services,Banks,Financial services,Services,Financial services,ALPHA GA, ALPHA GA,ALPHA.AT,2022,2347411265,,881600000,2279185000,2279185000,368103000,EUR,14369207000,0,15715322000,78018691000,71741235000,15715322000,3500608000,6277456000
582,The Allstate Corporation,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44770.7712037037, Insurance, Financial services, Services,Insurance,Financial services,Services,Financial services,ALL US, ALL US,ALL,2022,35852639864,54000,-1117000000,51412000000,43966000000,-1364000000,USD,736000000,4173000000,59339000000,97957000000,80607000000,61829000000,7964000000,17350000000
586,Alliant Energy Corporation,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500, United States of America",44774.9994328704," CCGT generation, Coal generation, Gas utilities, Non-CCGT generation, Utility line construction"," Construction, Energy utility networks, Thermal power generation"," Infrastructure, Power generation",CCGT generation,Thermal power generation,Power generation,Electric utilities,LNT US, LNT US,LNT,2022,13863231000,,1644000000,4205000000,1709000000,686000000,USD,20000000,0,559000000,20163000000,13887000000,559000000,8718000000,6276000000
588,Allianz Global Investors,Germany,Submitted,public, Net Zero Asset Managers Initiative,44832.6110763889, Asset managers, Financial services, Services,Asset managers,Financial services,Services,Financial services,,,unknown,2022,,,,,,,,,,,,,,,
