Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
628,"Altria Group, Inc.",United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Tobacco products,Tobacco,"Food, beverage & agriculture","Food, beverage & tobacco", MO US, Investor,MO,2020,76137000000,7100,13677000000,20841000000,13023000000,4467000000,USD,4945000000,0,19529000000,47414000000,44489000000,19529000000,29471000000,2925000000
629,AltaGas Ltd.,Canada,,public," Benchmark, Canada, CCGR1800, Continuity Climate Change, MSCI ACWI",Gas utilities,Energy utility networks,Infrastructure,General, ALA CN," Investor, Supply Chain",ALA.TO,2020,5222887132,,1160000000,5587000000,2409000000,552000000,CAD,32000000,0,887000000,21532000000,13871000000,887000000,8641000000,7661000000
631,ALPLA,Austria,,public,,Plastic products,Plastic product manufacturing,Manufacturing,General, 1154Z AV, Supply Chain,1154Z,2020,,,,,,,CAD,,,,,,,,
638,Alten,France,,public, France,Engineering services,Specialized professional services,Services,General, ATE FP," Investor, Supply Chain",ATE.PA,2020,3126806122,,201197000,2331925000,268797000,98011000,EUR,283424000,383000,103549000,2152611000,939491000,103549000,258055999,1213120000
641,Amer Sports,Finland,,public, Continuity Climate Change,Sporting goods,Leisure & home manufacturing,Manufacturing,General, AMEAS FH," Investor, Supply Chain",AMEAS.HE,2020,,,,,,,EUR,,,,,,,,
660,American Airlines Group Inc,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500",Passenger airlines,Air transport,Transportation services,Transport services, AAL US," Investor, Supply Chain",AAL,2020,10007783930,0,-10226000000,17337000000,-7596000000,-8885000000,USD,245000000,6619000000,161000000,62008000000,68875000000,6619000000,41021000000,-6867000000
661,Ameren Corporation,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AEE US," Investor, Supply Chain",AEE,2020,19858464000,0,2604000000,5794000000,2858000000,871000000,USD,139000000,0,982000000,32030000000,22950000000,982000000,11576000000,9080000000
668,Ambuja Cements,India,,public," Benchmark, CCGR1800, Continuity Climate Change, Emerging Markets, Environmental, India, MSCI ACWI",Cement,Cement & concrete,Materials,Cement, ACEM IN, Investor,ACEM.BO,2020,,,,,,,USD,,,,,,,,
674,Amcor plc,Australia,,public," ASX 100, Australia, Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500",Other containers & packaging,Light manufacturing,Manufacturing,General," AMCR UN, AMCR US"," Investor, Supply Chain",AMCR,2020,18231730000,6000,1777000000,12468000000,2536000000,612000000,USD,743000000,0,77700000,16503200000,11755000000,77700000,6234000000,4748200000
682,Amphenol Corporation,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500",Electronic components,Electrical & electronic equipment,Manufacturing,General, APH US," Investor, Supply Chain",APH,2020,39135915000,80000,1961600000,8598900000,2664100000,1203400000,USD,1702000000,36100000,-299100000,12327300000,6875400000,36100000,3866500000,5451900000
689,"American Electric Power Company, Inc.",United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Coal generation,Thermal power generation,Power generation,Electric utilities, AEP US," Investor, Supply Chain",AEP,2020,41390072536,16787,6070500000,14918500000,9538400000,2200100000,USD,392700000,200800000,3963700000,80757200000,59982700000,4164500000,34431500000,20774500000
692,American Express,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Banks,Financial services,Services,Financial services, AXP US," Investor, Supply Chain",AXP,2020,97211640000,63700,5839000000,36087000000,24330000000,3135000000,USD,32826000000,21550000000,22000000000,191000000000,168000000000,41703000000,45000000000,23000000000
699,"American International Group, Inc. (AIG)",United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Insurance,Financial services,Services,Financial services, AIG US," Investor, Supply Chain",AIG,2020,32866457912,45000,-4187000000,43839000000,43839000000,-5833000000,USD,2827000000,289699000000,296046000000,586481000000,37534000000,360668000000,37534000000,67199000000
702,American Packaging,United States of America,,public,,Metal containers & packaging,Metal products manufacturing,Manufacturing,General,, Supply Chain,unknown,2020,,,,,,,,,,,,,,,
706,American Tower Corp.,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Fixed Income, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Utility line construction,Construction,Infrastructure,General, AMT US," Investor, Supply Chain",AMT,2020,99769328233,5618,4568700000,8041500000,5814300000,1690600000,USD,1746300000,0,2084300000,47233500000,42453000000,2084300000,36711800000,4780500000
707,"Ameriprise Financial, Inc.",United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, MSCI ACWI, S&P 500",Asset managers,Financial services,Services,Financial services, AMP US, Investor,AMP,2020,23280734000,0,1755000000,11899000000,5832000000,1534000000,USD,6845000000,36283000000,36292000000,165883000000,160016000000,42949000000,4944000000,5867000000
710,AmerisourceBergen Corp.,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500",Pharma & health care supplies wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,General, ABC US," Investor, Supply Chain",ABC,2020,20032588160,22000,2426248000,189893926000,5191884000,-3399558000,USD,4597746000,0,0,43947863000,44787499000,0,4119520000,-660348000
716,"Amgen, Inc.",United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Biotechnology,Biotech & pharma,"Biotech, health care & pharma",General, AMGN US, Investor,AMGN,2020,132663840000,0,9395000000,25424000000,19265000000,7264000000,USD,6266000000,4381000000,4425000000,62948000000,53539000000,4381000000,32986000000,9409000000
719,AMKOR TECHNOLOGY INC,United States of America,CDP NA,public, Self selected companies climate change,Industrial services,Industrial support services,Services,General, AMKR US," Investor, Supply Chain",AMKR,2020,3668466360,650,961246000,5050589000,900814000,338138000,USD,698002000,133769000,3188000,5022311000,2668352000,133769000,1238766000,2353959000
722,AmorePacific Corporation,Republic of Korea,,public," Benchmark, CCGR1800, Continuity Climate Change, Emerging Markets, Korea, MSCI ACWI",Personal care & household products,Chemicals,Materials,General, 090430 KS, Investor,090430.KS,2020,14158551804000,,569603278750,4432179039390,3166780974640,21869011690,KRW,793728286320,224345543160,-150314975450,5701918175750,1237520431550,74030567710,420775784040,4464397744190
724,AMP,Australia,,public," ASX 100, Australia, Benchmark, Continuity Climate Change, MSCI ACWI",Insurance,Financial services,Services,Financial services, AMP AU, Investor,AMP.AX,2020,5357777652,,-408000000,2495000000,2407000000,177000000,AUD,2428000000,0,22486000000,32153000000,27879000000,22486000000,25127000000,4274000000
